nth vaddr      bind type lib          name
92  0x00664770 NONE FUNC user32.dll   IsClipboardFormatAvailable
93  0x00664774 NONE FUNC user32.dll   IsChild
94  0x00664778 NONE FUNC user32.dll   IsCharAlphaNumericA
95  0x0066477c NONE FUNC user32.dll   IsCharAlphaA
96  0x00664780 NONE FUNC user32.dll   InvalidateRect
97  0x00664784 NONE FUNC user32.dll   IntersectRect
98  0x00664788 NONE FUNC user32.dll   InsertMenuItemA
99  0x0066478c NONE FUNC user32.dll   InsertMenuA
100 0x00664790 NONE FUNC user32.dll   InflateRect
101 0x00664794 NONE FUNC user32.dll   GetWindowThreadProcessId
102 0x00664798 NONE FUNC user32.dll   GetWindowTextLengthW
103 0x0066479c NONE FUNC user32.dll   GetWindowTextW
104 0x006647a0 NONE FUNC user32.dll   GetWindowTextA
105 0x006647a4 NONE FUNC user32.dll   GetWindowRect
106 0x006647a8 NONE FUNC user32.dll   GetWindowPlacement
107 0x006647ac NONE FUNC user32.dll   GetWindowLongW
108 0x006647b0 NONE FUNC user32.dll   GetWindowLongA
109 0x006647b4 NONE FUNC user32.dll   GetWindowDC
110 0x006647b8 NONE FUNC user32.dll   GetUpdateRect
111 0x006647bc NONE FUNC user32.dll   GetTopWindow
112 0x006647c0 NONE FUNC user32.dll   GetSystemMetrics
113 0x006647c4 NONE FUNC user32.dll   GetSystemMenu
114 0x006647c8 NONE FUNC user32.dll   GetSysColorBrush
115 0x006647cc NONE FUNC user32.dll   GetSysColor
116 0x006647d0 NONE FUNC user32.dll   GetSubMenu
117 0x006647d4 NONE FUNC user32.dll   GetScrollRange
118 0x006647d8 NONE FUNC user32.dll   GetScrollPos
119 0x006647dc NONE FUNC user32.dll   GetScrollInfo
120 0x006647e0 NONE FUNC user32.dll   GetPropA
121 0x006647e4 NONE FUNC user32.dll   GetParent
122 0x006647e8 NONE FUNC user32.dll   GetWindow
123 0x006647ec NONE FUNC user32.dll   GetMessageTime
124 0x006647f0 NONE FUNC user32.dll   GetMessagePos
125 0x006647f4 NONE FUNC user32.dll   GetMenuStringW
126 0x006647f8 NONE FUNC user32.dll   GetMenuStringA
127 0x006647fc NONE FUNC user32.dll   GetMenuState
128 0x00664800 NONE FUNC user32.dll   GetMenuItemInfoW
129 0x00664804 NONE FUNC user32.dll   GetMenuItemInfoA
130 0x00664808 NONE FUNC user32.dll   GetMenuItemID
131 0x0066480c NONE FUNC user32.dll   GetMenuItemCount
132 0x00664810 NONE FUNC user32.dll   GetMenu
133 0x00664814 NONE FUNC user32.dll   GetLastActivePopup
134 0x00664818 NONE FUNC user32.dll   GetKeyboardState
135 0x0066481c NONE FUNC user32.dll   GetKeyboardLayoutNameA
136 0x00664820 NONE FUNC user32.dll   GetKeyboardLayoutList
137 0x00664824 NONE FUNC user32.dll   GetKeyboardLayout
138 0x00664828 NONE FUNC user32.dll   GetKeyState
139 0x0066482c NONE FUNC user32.dll   GetKeyNameTextW
140 0x00664830 NONE FUNC user32.dll   GetKeyNameTextA
141 0x00664834 NONE FUNC user32.dll   GetIconInfo
142 0x00664838 NONE FUNC user32.dll   GetForegroundWindow
143 0x0066483c NONE FUNC user32.dll   GetFocus
144 0x00664840 NONE FUNC user32.dll   GetDoubleClickTime
145 0x00664844 NONE FUNC user32.dll   GetDlgItem
146 0x00664848 NONE FUNC user32.dll   GetDesktopWindow
147 0x0066484c NONE FUNC user32.dll   GetDCEx
148 0x00664850 NONE FUNC user32.dll   GetDC
149 0x00664854 NONE FUNC user32.dll   GetCursorPos
150 0x00664858 NONE FUNC user32.dll   GetCursor
151 0x0066485c NONE FUNC user32.dll   GetClipboardData
152 0x00664860 NONE FUNC user32.dll   GetClientRect
153 0x00664864 NONE FUNC user32.dll   GetClassNameW
154 0x00664868 NONE FUNC user32.dll   GetClassNameA
155 0x0066486c NONE FUNC user32.dll   GetClassInfoW
156 0x00664870 NONE FUNC user32.dll   GetClassInfoA
157 0x00664874 NONE FUNC user32.dll   GetCaretPos
158 0x00664878 NONE FUNC user32.dll   GetCapture
159 0x0066487c NONE FUNC user32.dll   GetActiveWindow
160 0x00664880 NONE FUNC user32.dll   FrameRect
161 0x00664884 NONE FUNC user32.dll   FindWindowA
162 0x00664888 NONE FUNC user32.dll   FillRect
163 0x0066488c NONE FUNC user32.dll   EqualRect
164 0x00664890 NONE FUNC user32.dll   EnumWindows
165 0x00664894 NONE FUNC user32.dll   EnumThreadWindows
166 0x00664898 NONE FUNC user32.dll   EnumClipboardFormats
167 0x0066489c NONE FUNC user32.dll   EndPaint
168 0x006648a0 NONE FUNC user32.dll   EndDeferWindowPos
169 0x006648a4 NONE FUNC user32.dll   EnableWindow
170 0x006648a8 NONE FUNC user32.dll   EnableScrollBar
171 0x006648ac NONE FUNC user32.dll   EnableMenuItem
172 0x006648b0 NONE FUNC user32.dll   EmptyClipboard
173 0x006648b4 NONE FUNC user32.dll   DrawTextW
174 0x006648b8 NONE FUNC user32.dll   DrawTextA
175 0x006648bc NONE FUNC user32.dll   DrawMenuBar
176 0x006648c0 NONE FUNC user32.dll   DrawIconEx
177 0x006648c4 NONE FUNC user32.dll   DrawIcon
178 0x006648c8 NONE FUNC user32.dll   DrawFrameControl
179 0x006648cc NONE FUNC user32.dll   DrawFocusRect
180 0x006648d0 NONE FUNC user32.dll   DrawEdge
181 0x006648d4 NONE FUNC user32.dll   DispatchMessageW
